SampleNumber,Compound,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc_micromolar,%Rec,Detection Flags,Threshold
25,Amikacin,Sample_1163,Analyte,,0.24,0.842,4881.51,1.753,0,0.4402,,bb,10
26,Amikacin,Sample_5331,Analyte,,0.47,0.257,13339.362,1.069,0,0,,bbI,10
27,Amikacin,Sample_9039,Analyte,,,,7944.416,,,,,,10
28,Amikacin,Sample_5548,Analyte,,,,8466.593,,,,,,10
29,Amikacin,Sample_5552,Analyte,,,,8729.085,,,,,,10
30,Amikacin,Sample_13359,Analyte,,,,7540.354,,,,,,10
31,Amikacin,WaterBlank4,Blank,,,,,,,,,,10
32,Amikacin,WaterBlank5,Blank,,,,16.82,,,,,MM-I,10
33,Amikacin,Sample_13285,Analyte,,0.26,0.033,5787.078,0.253,0,0,,bbI,10
34,Amikacin,Sample_1033,Analyte,,0.43,1.745,,1.12,,,,bb,10
35,Amikacin,Sample_1142,Analyte,,,,4378.135,,,,,,10
36,Amikacin,Sample_9080,Analyte,,,,6180.041,,,,,,10
37,Amikacin,Sample_1162,Analyte,,0.32,0.432,6601.297,1.148,0,0.2143,,bb,10
38,Amikacin,Sample_4157,Analyte,,,,5633.405,,,,,,10
39,Amikacin,Sample_1035,Analyte,,,,3836.894,,,,,,10
40,Amikacin,Sample_5306,Analyte,,0.53,0.163,6104.225,0.596,0,0,,bbI,10
41,Amikacin,Sample_8329,Analyte,,,,3041.353,,,,,,10
42,Amikacin,Sample_9283,Analyte,,0.53,0.33,7934.2,0.99,0,0,,bbI,10
43,Amikacin,WaterBlank6,Blank,,0.3,1.058,25.204,2.237,0.042,4.7518,,bb,10
44,Amikacin,WaterBlank7,Blank,,0.39,0.467,32.121,0.804,0.015,2.8792,,bb,10
45,Amikacin,Sample_6512,Analyte,,0.57,0.29,3900.927,0.936,0,0.277,,bb,10
46,Amikacin,Sample_9248,Analyte,,0.43,0.175,10638.395,0.498,0,0,,bbI,10
47,Amikacin,Sample_6510,Analyte,,0.28,0.905,9583.706,0.649,0,0.3302,,bb,10
48,Amikacin,Sample_9082,Analyte,,,,11266.05,,,,,,10
49,Amikacin,Sample_1056,Analyte,,0.34,0.212,18050.068,1.312,0,0,,bbI,10
50,Amikacin,Sample_13358,Analyte,,0.22,0.053,13978.586,0.258,0,0,,bbI,10
51,Amikacin,Sample_13333,Analyte,,0.53,2.682,28211.877,3.917,0,0.3315,,bb,10
52,Amikacin,Sample_4137,Analyte,,,,26646.32,,,,,,10
53,Amikacin,Sample_5110,Analyte,,0.26,0.595,32726.643,2.871,0,0,,bbI,10
54,Amikacin,Sample_11159,Analyte,,,,19967.186,,,,,,10
55,Amikacin,WaterBlank8,Blank,,,,166.748,,,,,,10
56,Amikacin,WaterBlank9,Blank,,,,51.062,,,,,,10
57,Amikacin,Sample_8308,Analyte,,0.26,0.776,20683.967,1.223,0,0,,bbI,10
58,Amikacin,Sample_8306,Analyte,,,,25995.381,,,,,,10
59,Amikacin,Sample_10138,Analyte,,,,19548.168,,,,,,10
60,Amikacin,Sample_1058,Analyte,,,,23333.762,,,,,,10
61,Amikacin,Sample_5571,Analyte,,,,39417.027,,,,,,10
62,Amikacin,Sample_5112,Analyte,,,,46545.211,,,,,,10
63,Amikacin,WaterBlank10,Blank,,,,7.788,,,,,,10
64,Amikacin,QC1_10uMPOOL,Analyte,,0.37,10637.582,280.508,13975.07,37.923,136.8064,,bb,10
65,Amikacin,WaterBlank11,Blank,,0.43,0.693,2.059,1.483,0.337,13.0779,,bb,10
66,Amikacin,WaterBlank12,Blank,,0.3,0.294,9.312,1.194,0.032,4.1479,,bb,10
67,Amikacin,Sample_15155,Analyte,,,,26131.605,,,,,,10
68,Amikacin,Sample_5334,Analyte,,0.49,0.045,27490.025,0.407,0,0,,bbI,10
69,Amikacin,Sample_5135,Analyte,,,,47158.754,,,,,,10
70,Amikacin,Sample_13334,Analyte,,,,24461.645,,,,,,10
71,Amikacin,Sample_9246,Analyte,,,,15196.585,,,,,,10
72,Amikacin,Sample_4136,Analyte,,,,13411.985,,,,,,10
73,Amikacin,Sample_11157,Analyte,,,,13052.131,,,,,,10
74,Amikacin,Sample_15138,Analyte,,,,9049.926,,,,,,10
75,Amikacin,Sample_11160,Analyte,,0.49,0.968,11007.023,0.516,0,0.316,,bb,10
76,Amikacin,Sample_5137,Analyte,,,,40739.297,,,,,MM-I,10
77,Amikacin,WaterBlank14,Blank,,0.37,0.791,,1.826,,,,bb,10
78,Amikacin,WaterBlank15,Blank,,0.47,0.29,5.045,1.097,0.057,5.5258,,bb,10
79,Amikacin,Sample_1363,Analyte,,0.28,0.552,13135.572,1.688,0,0,,bbI,10
80,Amikacin,Sample_6489,Analyte,,0.49,37.765,7676.452,103.888,0.005,1.7561,,bb,10
81,Amikacin,Sample_9251,Analyte,,0.55,1.461,14562.775,2.549,0,0.3418,,bb,10
82,Amikacin,Sample_9042,Analyte,,0.32,1.777,19820.381,1.725,0,0.3199,,bb,10
83,Amikacin,Sample_1055,Analyte,,,,5151.735,,,,,,10
84,Amikacin,Sample_1059,Analyte,,,,9874.297,,,,,,10
85,Amikacin,Sample_6495,Analyte,,0.34,0.746,9629.781,1.717,0,0.2877,,bb,10
86,Amikacin,Sample_12293,Analyte,,0.53,0.277,13731.275,0.929,0,0,,bbI,10
87,Amikacin,Sample_12296,Analyte,,,,15515.017,,,,,,10
88,Amikacin,Sample_13284,Analyte,,0.57,0.119,11646.67,0.99,0,0,,bbI,10
89,Amikacin,WaterBlank16,Blank,,0.37,0.1,8.289,0.696,0.012,2.6404,,bb,10
90,Amikacin,WaterBlank17,Blank,,0.45,0.025,28.247,0.298,0.001,0.8457,,bb,10
91,Amikacin,Sample_1360,Analyte,,,,7663.314,,,,,,10
92,Amikacin,Sample_9083,Analyte,,0.24,0.041,12914.227,0.117,0,0,,bbI,10
93,Amikacin,Sample_5305,Analyte,,,,14080.773,,,,,,10
94,Amikacin,Sample_13354,Analyte,,0.51,1.297,15356.224,1.116,0,0.3075,,bb,10
95,Amikacin,Sample_11181,Analyte,,,,18527.184,,,,,,10
96,Amikacin,Sample_8324,Analyte,,0.55,0.371,12832.703,0.845,0,0,,bbI,10
97,Amikacin,Sample_12269,Analyte,,0.28,0.153,27232.77,0.62,0,0,,bbI,10
98,Amikacin,Sample_9081,Analyte,,0.57,0.964,33412.652,1.285,0,0,,bbI,10
99,Amikacin,Sample_10155,Analyte,,,,15211.546,,,,,,10
100,Amikacin,Sample_5335,Analyte,,0.26,0.183,31745.094,0.695,0,0,,bbI,10
101,Amikacin,WaterBlank18,Blank,,,,15.499,,,,,,10
102,Amikacin,WaterBlank19,Blank,,,,16.372,,,,,,10
103,Amikacin,Sample_15141,Analyte,,,,14396.367,,,,,,10
104,Amikacin,Sample_12291,Analyte,,,,38283.387,,,,,,10
105,Amikacin,Sample_1359,Analyte,,,,24028.426,,,,,,10
106,Amikacin,Sample_10139,Analyte,,,,,,,,,,10
107,Amikacin,Sample_6516,Analyte,,0.41,0.383,25162.109,1.251,0,0,,bbI,10
108,Amikacin,Sample_9084,Analyte,,0.45,0.347,,0.817,,,,bb,10
109,Amikacin,Sample_5550,Analyte,,0.41,0.993,,1.646,,,,bb,10
110,Amikacin,Sample_6493,Analyte,,,,6917.139,,,,,,10
111,Amikacin,Sample_9041,Analyte,,0.34,0.966,18345.035,2.627,0,0,,bbI,10
112,Amikacin,Sample_15159,Analyte,,,,5774.952,,,,,,10
113,Amikacin,WaterBlank20,Blank,,0.26,0.033,,0.206,,,,bb,10
114,Amikacin,WaterBlank21,Blank,,,,4.994,,,,,,10
115,Amikacin,Sample_13332,Analyte,,,,6679.447,,,,,,10
116,Amikacin,Sample_15136,Analyte,,,,5620.551,,,,,,10
117,Amikacin,Sample_1361,Analyte,,0.39,0.562,7572.947,1.816,0,0.2765,,bb,10
118,Amikacin,Sample_4135,Analyte,,,,16255.679,,,,,,10
119,Amikacin,Sample_8305,Analyte,,0.57,0.75,9224.175,1.743,0,0.2991,,bb,10
120,Amikacin,WaterBlank22,Blank,,0.37,0.236,52.794,0.886,0.004,1.6829,,bb,10
121,Amikacin,QC2_10uMPOOL,Analyte,,0.37,8017.524,279.116,4502.706,28.725,119.0926,,bb,10
122,Amikacin,WaterBlank23,Blank,,0.53,0.267,7.293,0.774,0.037,4.4511,,bb,10
123,Amikacin,WaterBlank24,Blank,,,,12.049,,,,,,10
124,Amikacin,WaterBlank25,Blank,,,,,,,,,,10
125,Amikacin,Sample_4159,Analyte,,0.26,0.241,8406.723,0.783,0,0,,bbI,10
126,Amikacin,Sample_6491,Analyte,,0.49,0.077,2258.735,0.489,0,0,,bbI,10
127,Amikacin,Sample_5574,Analyte,,0.51,0.841,13460.634,2.494,0,0,,bbI,10
128,Amikacin,Sample_1158,Analyte,,0.28,0.746,5500.952,1.128,0,0.3966,,bb,10
129,Amikacin,Sample_5333,Analyte,,,,8018.576,,,,,,10
130,Amikacin,Sample_11180,Analyte,,,,6001.404,,,,,,10
131,Amikacin,Sample_13357,Analyte,,0.55,0.112,6965.836,0.486,0,0,,bbI,10
132,Amikacin,Sample_15140,Analyte,,,,8589.123,,,,,,10
133,Amikacin,Sample_15134,Analyte,,,,7708.728,,,,,,10
134,Amikacin,Sample_8304,Analyte,,0.37,1.156,13001.203,1.706,0,0.3182,,bb,10
135,Amikacin,WaterBlank26,Blank,,0.28,0.085,19.208,0.302,0.004,1.6753,,bb,10
136,Amikacin,WaterBlank27,Blank,,0.41,0.395,15.532,1.414,0.025,3.7435,,bb,10
137,Amikacin,Sample_11185,Analyte,,0.45,0.457,5641.424,0.989,0,0.2983,,bb,10
138,Amikacin,Sample_15158,Analyte,,,,9208.179,,,,,,10
139,Amikacin,Sample_13288,Analyte,,,,6002.27,,,,,,10
140,Amikacin,Sample_1034,Analyte,,,,9347.354,,,,,,10
141,Amikacin,Sample_9284,Analyte,,0.57,0.583,19347.334,2.009,0,0,,bbI,10
142,Amikacin,Sample_4139,Analyte,,,,11053.966,,,,,,10
143,Amikacin,Sample_1159,Analyte,,0.34,0.098,10992.384,0.546,0,0,,bbI,10
144,Amikacin,Sample_5336,Analyte,,0.37,0.738,22899.787,2.327,0,0,,bbI,10
145,Amikacin,Sample_1160,Analyte,,0.32,0.848,39.85,2.706,0.021,3.4415,,bb,10
146,Amikacin,Sample_1362,Analyte,,,,,,,,,,10
147,Amikacin,WaterBlank28,Blank,,0.2,0.178,0.978,1.155,0.182,9.672,,bb,10
148,Amikacin,WaterBlank29,Blank,,0.2,0.09,0.693,0.862,0.13,8.2023,,bb,10
149,Amikacin,Sample_8330,Analyte,,,,14161.272,,,,,,10
150,Amikacin,Sample_11186,Analyte,,,,14209.328,,,,,,10
151,Amikacin,Sample_5572,Analyte,,0.43,0.302,12733.004,0.941,0,0,,bbI,10
152,Amikacin,Sample_13283,Analyte,,0.47,1.671,4720.641,2.471,0,0.5875,,bb,10
153,Amikacin,Sample_8331,Analyte,,,,10347.036,,,,,,10
154,Amikacin,Sample_1038,Analyte,,,,9987.392,,,,,,10
155,Amikacin,Sample_6496,Analyte,,,,2409.671,,,,,,10
156,Amikacin,Sample_5551,Analyte,,0.24,0.084,11377.498,0.487,0,0,,bbI,10
157,Amikacin,Sample_13356,Analyte,,,,7710.503,,,,,MM-I,10
158,Amikacin,Sample_5549,Analyte,,0.34,0.607,9037.142,1.776,0,0.2401,,bb,10
159,Amikacin,WaterBlank30,Blank,,0.28,0.037,97.763,0.442,0,0,,bbI,10
160,Amikacin,WaterBlank31,Blank,,0.49,0.709,,2.481,,,,bb,10
161,Amikacin,Sample_12267,Analyte,,,,7793.54,,,,,,10
162,Amikacin,Sample_9282,Analyte,,,,10031.548,,,,,,10
163,Amikacin,Sample_1161,Analyte,,0.49,0.775,4169.207,1.921,0,0.4542,,bb,10
164,Amikacin,Sample_6490,Analyte,,,,3336.823,,,,,,10
165,Amikacin,Sample_1054,Analyte,,,,4390.102,,,,,,10
166,Amikacin,Sample_15162,Analyte,,,,4522.854,,,,,,10
167,Amikacin,Sample_5113,Analyte,,,,5186.127,,,,,,10
168,Amikacin,Sample_4155,Analyte,,0.39,0.269,2298.661,1.442,0,0.3701,,bb,10
169,Amikacin,Sample_9043,Analyte,,,,12310.678,,,,,,10
170,Amikacin,Sample_1140,Analyte,,,,3908.39,,,,,,10
171,Amikacin,WaterBlank32,Blank,,,,72.502,,,,,,10
172,Amikacin,WaterBlank33,Blank,,,,5.634,,,,,,10
173,Amikacin,Sample_5136,Analyte,,,,4366.039,,,,,,10
174,Amikacin,Sample_5570,Analyte,,,,3486.9,,,,,,10
175,Amikacin,Sample_8325,Analyte,,0.53,1.431,1693.815,1.922,0.001,0.83,,bb,10
176,Amikacin,Sample_11162,Analyte,,,,2797.99,,,,,,10
177,Amikacin,WaterBlank34,Blank,,0.43,0.471,106.446,1.388,0.004,1.6752,,bb,10
178,Amikacin,QC3_10uMPOOL,Analyte,,0.34,2964.448,104.201,6149.928,28.449,118.5214,,bb,10
179,Amikacin,WaterBlank35,Blank,,0.3,2.993,4.828,6.238,0.62,17.6744,,bb,10
180,Amikacin,WaterBlank36,Blank,,,,1.615,,,,,,10
181,Amikacin,Sample_4140,Analyte,,0.55,0.432,1791.437,0.923,0,0.5048,,bb,10
182,Amikacin,Sample_11187,Analyte,,0.28,0.728,2400.082,0.882,0,0.5528,,bb,10
183,Amikacin,Sample_9250,Analyte,,,,2595.938,,,,,,10
184,Amikacin,Sample_12294,Analyte,,,,4078.566,,,,,MM-I,10
185,Amikacin,Sample_6515,Analyte,,0.32,0.824,1467.762,1.777,0.001,0.7047,,bb,10
186,Amikacin,Sample_4138,Analyte,,,,2022.454,,,,,,10
187,Amikacin,Sample_13355,Analyte,,,,2848.279,,,,,,10
188,Amikacin,Sample_9285,Analyte,,,,2003.637,,,,,,10
189,Amikacin,Sample_6494,Analyte,,,,1267.517,,,,,,10
190,Amikacin,Sample_5332,Analyte,,0.24,1.34,3519.991,1.461,0,0,,bbI,10
191,Amikacin,WaterBlank37,Blank,,0.49,0.477,116.124,2.396,0.004,1.621,,bb,10
192,Amikacin,WaterBlank38,Blank,,0.41,0.734,1.7,2.346,0.432,14.7847,,bb,10
193,Amikacin,Sample_5138,Analyte,,,,4051.128,,,,,,10
194,Amikacin,Sample_9247,Analyte,,,,4367.067,,,,,,10
195,Amikacin,Sample_10159,Analyte,,0.28,0.183,5134.046,0.777,0,0,,bbI,10
196,Amikacin,Sample_13286,Analyte,,0.39,0.041,4535.584,0.323,0,0,,bbI,10
197,Amikacin,Sample_4156,Analyte,,,,1842.989,,,,,MM-I,10
198,Amikacin,Sample_6513,Analyte,,0.45,0.913,6112.581,2.155,0,0.4139,,bb,10
199,Amikacin,Sample_9040,Analyte,,,,10632.158,,,,,,10
200,Amikacin,Sample_11182,Analyte,,,,,,,,,,10
201,Amikacin,Sample_9038,Analyte,,0.51,0.261,1656.887,1.216,0,0,,bbI,10
202,Amikacin,Sample_1310,Analyte,,,,2962.841,,,,,,10
203,Amikacin,WaterBlank39,Blank,,0.28,1.353,43.7,1.656,0.031,4.1096,,bb,10
204,Amikacin,WaterBlank40,Blank,,0.53,0.599,1.334,1.311,0.449,15.0732,,bb,10
205,Amikacin,Sample_4158,Analyte,,,,2892.34,,,,,,10
206,Amikacin,Sample_10141,Analyte,,,,1142.203,,,,,,10
207,Amikacin,Sample_8303,Analyte,,,,2736.226,,,,,,10
208,Amikacin,Sample_5575,Analyte,,,,2910.666,,,,,,10
209,Amikacin,Sample_5111,Analyte,,0.49,0.721,2171.744,1.764,0,0,,bbI,10
210,Amikacin,Sample_12292,Analyte,,,,3009.373,,,,,,10
211,Amikacin,Sample_9286,Analyte,,,,2903.399,,,,,,10
212,Amikacin,Sample_11158,Analyte,,0.43,0.473,3128.243,1.342,0,0.4162,,bb,10
213,Amikacin,Sample_1137,Analyte,,0.47,0.094,1088.82,0.308,0,0.3122,,bb,10
214,Amikacin,Sample_8327,Analyte,,0.41,1.61,1655.675,2.192,0.001,0.8787,,bb,10
215,Amikacin,WaterBlank41,Blank,,,,147.181,,,,,,10
216,Amikacin,WaterBlank42,Blank,,,,,,,,,,10
217,Amikacin,Sample_9287,Analyte,,,,7607.327,,,,,,10
218,Amikacin,Sample_13287,Analyte,,,,4524.089,,,,,,10
219,Amikacin,Sample_1138,Analyte,,0.28,0.518,3895.5,0.353,0,0.393,,bb,10
220,Amikacin,Sample_15137,Analyte,,0.53,2.009,2479.804,2.353,0.001,0.816,,bb,10
221,Amikacin,Sample_1141,Analyte,,,,2283.411,,,,,,10
222,Amikacin,Sample_8307,Analyte,,0.3,0.073,4349.041,0.328,0,0,,bbI,10
223,Amikacin,Sample_11161,Analyte,,,,5935.025,,,,,,10
224,Amikacin,Sample_9249,Analyte,,0.24,0.571,9456.295,1.67,0,0,,bbI,10
225,Amikacin,Sample_12295,Analyte,,0.43,0.049,10414.904,0.294,0,0,,bbI,10
226,Amikacin,Sample_5547,Analyte,,,,5810.908,,,,,,10
227,Amikacin,WaterBlank43,Blank,,0.39,0.041,115.329,0.218,0,0,,bbI,10
228,Amikacin,WaterBlank44,Blank,,0.47,0.614,8.869,2.069,0.069,6.0442,,bb,10
229,Amikacin,Sample_9085,Analyte,,0.34,1.121,8423.236,2.001,0,0.3932,,bb,10
230,Amikacin,Sample_13309,Analyte,,,,7621.669,,,,,,10
231,Amikacin,Sample_4154,Analyte,,0.41,1.117,5319.636,2.542,0,0.4774,,bb,10
232,Amikacin,Sample_6492,Analyte,,,,3947.424,,,,,,10
233,Amikacin,Sample_1036,Analyte,,0.26,2.249,9062.786,1.834,0,0,,bbI,10
1,Amoxicillin,WaterBlank1,Blank,,,,,,,,,,10
2,Amoxicillin,WaterBlank2,Blank,,0.85,0.552,1.131,0.053,0.488,7.1313,,bb,10
3,Amoxicillin,Sample_12270,Analyte,,1.06,0.705,29266.48,0.062,0,0.0118,,bb,10
4,Amoxicillin,WaterBlank1a,Blank,,,,425.843,,,,,,10
5,Amoxicillin,WaterBlank2a,Blank,,1.12,0.813,123.805,0.109,0.007,0.4364,,bb,10
6,Amoxicillin,Water_ABS_0,Standard,0,,,204892.938,,,,,,10
7,Amoxicillin,Water_ABS_140,Standard,0.014,1.08,29.483,206415.984,9.664,0,0.0216,154.2,bb,10
8,Amoxicillin,Water_ABS_410,Standard,0.041,1.02,35.064,210472.047,27.6,0,0.0235,57.4,bb,10
9,Amoxicillin,Water_ABS_1230,Standard,0.123,1.04,357.499,227687.344,103.93,0.002,0.1309,106.4,bb,10
10,Amoxicillin,Water_ABS_3700,Standard,0.37,1,529.291,239528.156,585.276,0.002,0.1756,47.5,bb,10
11,Amoxicillin,Water_ABS_1000,Standard,1.1,1.04,2891.629,90629.641,577.218,0.032,1.3963,126.9,bb,10
12,Amoxicillin,Water_ABS_3000,Standard,3.3,1.06,7365.642,62678.156,2703.68,0.118,3.1748,96.2,bb,10
13,Amoxicillin,Water_ABS_10000,Standard,10,1.04,25209.016,27586.045,5246.279,0.914,10.0099,100.1,bb,10
14,Amoxicillin,WaterBlank1b,Blank,,0.92,0.306,,0.456,,,,bb,10
15,Amoxicillin,WaterBlank2b,Blank,,,,191.768,,,,,,10
16,Amoxicillin,WaterBlank3b,Blank,,1.14,0.799,149.732,0.255,0.005,0.3689,,bb,10
17,Amoxicillin,Minus80aliquot,Analyte,,1.02,31612.461,31.327,5481.367,1009.112,355.815,,bb,10
18,Amoxicillin,WaterBlank1A,Blank,,1.04,40.003,174.053,1.847,0.23,4.6874,,bb,10
19,Amoxicillin,WaterBlank2A,Blank,,1.04,48.636,73.542,20.788,0.661,8.4127,,bb,10
20,Amoxicillin,WaterBlank3A,Blank,,1.04,15.562,68.098,13.009,0.229,4.6722,,bb,10
21,Amoxicillin,Sample_15139,Analyte,,,,11411.595,,,,,,10
22,Amoxicillin,Sample_5307,Analyte,,,,25854.27,,,,,,10
23,Amoxicillin,Sample_6517,Analyte,,1.06,0.717,13785.994,0.053,0,0.0141,,bb,10
24,Amoxicillin,Sample_5573,Analyte,,1.06,2.03,24188.506,0.343,0,0.0167,,bb,10
25,Amoxicillin,Sample_1163,Analyte,,1.12,16.709,6670.938,2.078,0.003,0.1956,,bb,10
26,Amoxicillin,Sample_5331,Analyte,,1.14,1.908,45836.891,0.457,0,0.0132,,bb,10
27,Amoxicillin,Sample_9039,Analyte,,,,22205.172,,,,,,10
28,Amoxicillin,Sample_5548,Analyte,,1.12,0.143,69920.133,0.075,0,0.01,,bb,10
29,Amoxicillin,Sample_5552,Analyte,,1.12,1.316,75430.938,0.6,0,0.0112,,bb,10
30,Amoxicillin,Sample_13359,Analyte,,,,64806.246,,,,,,10
31,Amoxicillin,WaterBlank4,Blank,,1,0.746,147.531,0.432,0.005,0.353,,bb,10
32,Amoxicillin,WaterBlank5,Blank,,0.94,1.315,156.813,1.41,0.008,0.5296,,bb,10
33,Amoxicillin,Sample_13285,Analyte,,1.14,0.391,18907.098,1.001,0,0.0115,,bb,10
34,Amoxicillin,Sample_1033,Analyte,,,,,,,,,,10
35,Amoxicillin,Sample_1142,Analyte,,,,13526.746,,,,,,10
36,Amoxicillin,Sample_9080,Analyte,,,,25267.537,,,,,,10
37,Amoxicillin,Sample_1162,Analyte,,,,16340.2,,,,,,10
38,Amoxicillin,Sample_4157,Analyte,,1.02,0.785,32103.775,0.827,0,0.0118,,bb,10
39,Amoxicillin,Sample_1035,Analyte,,,,32588.418,,,,,,10
40,Amoxicillin,Sample_5306,Analyte,,,,39020.004,,,,,,10
41,Amoxicillin,Sample_8329,Analyte,,0.85,5.113,22160.92,0.871,0,0.0288,,bb,10
42,Amoxicillin,Sample_9283,Analyte,,0.96,1.015,51937.453,0.121,0,0.0114,,bb,10
43,Amoxicillin,WaterBlank6,Blank,,,,248.854,,,,,,10
44,Amoxicillin,WaterBlank7,Blank,,1.06,0.289,197.155,0.437,0.001,0.1233,,bb,10
45,Amoxicillin,Sample_6512,Analyte,,,,50962.113,,,,,,10
46,Amoxicillin,Sample_9248,Analyte,,,,56290.375,,,,,,10
47,Amoxicillin,Sample_6510,Analyte,,1.08,1.533,70865.492,0.496,0,0.0116,,bb,10
48,Amoxicillin,Sample_9082,Analyte,,1.12,0.069,80256.336,0.065,0,0.0099,,bb,10
49,Amoxicillin,Sample_1056,Analyte,,1.06,1.846,51066.941,0.962,0,0.0128,,bb,10
50,Amoxicillin,Sample_13358,Analyte,,,,22582.023,,,,,,10
51,Amoxicillin,Sample_13333,Analyte,,0.92,5.197,35908.773,2.378,0,0.0217,,bb,10
52,Amoxicillin,Sample_4137,Analyte,,1.08,0.395,68097.977,1.367,0,0.0103,,bb,10
53,Amoxicillin,Sample_5110,Analyte,,,,100895.078,,,,,,10
54,Amoxicillin,Sample_11159,Analyte,,0.85,9.016,46000.02,1.453,0,0.0259,,bb,10
55,Amoxicillin,WaterBlank8,Blank,,,,285.384,,,,,,10
56,Amoxicillin,WaterBlank9,Blank,,1.04,1.606,265.021,0.079,0.006,0.4091,,bb,10
57,Amoxicillin,Sample_8308,Analyte,,,,48629.883,,,,,MM-,10
58,Amoxicillin,Sample_8306,Analyte,,,,42392.855,,,,,,10
59,Amoxicillin,Sample_10138,Analyte,,,,62184.438,,,,,,10
60,Amoxicillin,Sample_1058,Analyte,,,,27546.477,,,,,MM-,10
61,Amoxicillin,Sample_5571,Analyte,,1.1,0.454,106259.242,0.209,0,0.0101,,bb,10
62,Amoxicillin,Sample_5112,Analyte,,,,125506.648,,,,,,10
63,Amoxicillin,WaterBlank10,Blank,,1.22,0.098,159.776,0.075,0.001,0.0593,,bb,10
64,Amoxicillin,QC1_10uMPOOL,Analyte,,0.98,21160.914,39.84,2321.225,531.147,257.9396,,bb,10
65,Amoxicillin,WaterBlank11,Blank,,,,82.183,,,,,,10
66,Amoxicillin,WaterBlank12,Blank,,0.96,0.399,44.363,0.033,0.009,0.5592,,bb,10
67,Amoxicillin,Sample_15155,Analyte,,1.08,0.395,38866.934,0.148,0,0.0106,,bb,10
68,Amoxicillin,Sample_5334,Analyte,,,,53975.875,,,,,,10
69,Amoxicillin,Sample_5135,Analyte,,,,133656.125,,,,,,10
70,Amoxicillin,Sample_13334,Analyte,,,,37294.91,,,,,,10
71,Amoxicillin,Sample_9246,Analyte,,,,60996.668,,,,,,10
72,Amoxicillin,Sample_4136,Analyte,,,,48945.879,,,,,MM-,10
73,Amoxicillin,Sample_11157,Analyte,,0.98,0.448,52875.77,0.779,0,0.0105,,bb,10
74,Amoxicillin,Sample_15138,Analyte,,,,46609.473,,,,,MM-,10
75,Amoxicillin,Sample_11160,Analyte,,0.96,0.907,42042.543,0.143,0,0.0116,,bb,10
76,Amoxicillin,Sample_5137,Analyte,,,,60462.066,,,,,,10
77,Amoxicillin,WaterBlank14,Blank,,,,518.068,,,,,,10
78,Amoxicillin,WaterBlank15,Blank,,0.96,1.05,140.98,1.44,0.007,0.4824,,bb,10
79,Amoxicillin,Sample_1363,Analyte,,1.18,3.043,21296.447,1.259,0,0.0216,,MM!,10
80,Amoxicillin,Sample_6489,Analyte,,,,37417.59,,,,,,10
81,Amoxicillin,Sample_9251,Analyte,,0.94,0.302,49997.758,0.375,0,0.0103,,bb,10
82,Amoxicillin,Sample_9042,Analyte,,,,59540.941,,,,,,10
